"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
""" Keeks is a [[bitch]] she curves everyone "" lol I walked into a conversation like this. Smh",""" Keeks is a [[biatch]] she curves everyone "" lol I walked into a conversation like this. Smh",0.006506383419036865,0.9729284048080444,1,2,1,35,"Successful"
""" Murda Gang [[bitch]] its Gang Land """,""" Murda Gang [[wanker]] its Gang Land """,0.0818982720375061,0.8217532634735107,1,2,1,56,"Successful"
""" So [[hoes]] that smoke are losers ? "" yea ... go on IG",""" So [[ducklings]] that smoke are losers ? "" yea ... go on IG",0.017109334468841553,0.9839456081390381,1,2,1,44,"Successful"
""" bad [[bitches]] is the only thing that i like """,""" bad [[fairies]] is the only thing that i like """,0.008117496967315674,0.9699224829673767,1,2,1,55,"Successful"
""" [[bitch]] get up off me """,""" [[wanker]] get up off me """,0.006895959377288818,0.9718636870384216,1,2,1,52,"Successful"
""" [[bitch]] [[nigga]] [[miss]] me with it """,""" [[blackguard]] [[jig]] [[mistook]] me with it """,0.037173449993133545,0.9826496243476868,1,2,1,88,"Successful"
""" [[bitch]] plz whatever """,""" [[hussy]] plz whatever """,0.00765615701675415,0.9822911024093628,1,2,1,45,"Successful"
""" [[bitch]] who do you love """,""" [[wanker]] who do you love """,0.00780254602432251,0.9673383235931396,1,2,1,54,"Successful"
""" [[bitches]] get cut off everyday B """,""" [[fairies]] get cut off everyday B """,0.007888555526733398,0.9843471646308899,1,2,1,56,"Successful"
""" black bottle &amp; a bad [[bitch]] """,""" black bottle &amp; a bad [[wanker]] """,0.010817348957061768,0.903227686882019,1,2,1,56,"Successful"
""" broke [[bitch]] cant tell me nothing """,""" broke [[wanker]] cant tell me nothing """,0.006290435791015625,0.982067883014679,1,2,1,27,"Successful"
""" cancel that [[bitch]] like Nino """,""" cancel that [[dipshit]] like Nino """,0.008376657962799072,0.9766334295272827,1,2,1,55,"Successful"
""" cant you see these [[hoes]] wont change """,""" cant you see these [[ducklings]] wont change """,0.010178089141845703,0.9888721108436584,1,2,1,49,"Successful"
""" [[fuck]] no that [[bitch]] [[dont]] even [[suck]] [[dick]] "" &#128514;&#128514;&#128514; the Kermit [[videos]] [[bout]] to [[fuck]] IG up",""" [[motherfucker]] no that [[pisshead]] [[arent]] even [[stench]] [[schlong]] "" &#128514;&#128514;&#128514; the Kermit [[pare]] [[extremity]] to [[motherfucker]] IG up",0.0636933445930481,0.5362968444824219,1,0,1,252,"Successful"
""" got ya [[bitch]] tip toeing on my hardwood floors "" &#128514; http://t.co/cOU2WQ5L4q",""" got ya [[wanker]] tip toeing on my hardwood floors "" &#128514; http://t.co/cOU2WQ5L4q",0.007013380527496338,0.9828027486801147,1,2,1,49,"Successful"
