"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"RT @Lipstickjovie_: &#8220;@BeyonceHair: That [[bitch]] cut me off.&#8221; Lmfaooooooooooo","RT @Lipstickjovie_: &#8220;@BeyonceHair: That [[dog]] cut me off.&#8221; Lmfaooooooooooo",0.00887155532836914,0.9666134715080261,1,2,1,44,"Successful"
"Autocorrect makes my ""how's life"" change to [[hoes]] life. What the duck.","Autocorrect makes my ""how's life"" change to [[modern]] life. What the duck.",0.010780751705169678,0.9896728992462158,1,2,1,34,"Successful"
"How can you say you don't [[want]] a nigga [[that's]] friendly but your pussy is like Casper the friendly ghost?","How can you say you don't [[find]] a nigga [[talking]] friendly but your pussy is like Casper the friendly ghost?",0.16947418451309204,0.2509932518005371,1,1,1,59,"Failed"
"This [[target]] is ghetto, but whatever","This [[shit]] is ghetto, but whatever",0.11752593517303467,0.9941800832748413,2,1,2,52,"Successful"
"@JustKarahn [[negro]] please","@JustKarahn [[en]] please",0.2992594838142395,0.9745824933052063,1,2,1,38,"Successful"
"You can't treat these [[hoes]] like ladies","You can't treat these [[monsters]] like ladies",0.009062588214874268,0.9777992367744446,1,2,1,55,"Successful"
"I wasn't born last night, I know these [[hoes]] ain't right","I wasn't born last night, I know these [[children]] ain't right",0.006812572479248047,0.9796813726425171,1,2,1,56,"Successful"
"RT @SlikHawk: That's who dumb [[bitch]]! #GoHawks http://t.co/0iNjjm374v","RT @SlikHawk: That's who dumb [[questions]]! #GoHawks http://t.co/0iNjjm374v",0.009680867195129395,0.9829381704330444,1,2,1,34,"Successful"
"RT @jessietorr: yeah ""basic [[bitches]]"" are a thing but how many straight white men do you know who are all the same and SO boring??","RT @jessietorr: yeah ""basic [[s]]"" are a thing but how many straight white men do you know who are all the same and SO boring??",0.019330918788909912,0.8031274676322937,1,2,1,19,"Successful"
"RT @CheefPolo: Niggas be like ""[[I]] get [[3]] times the pussy you get"" jokes on you fam 3 [[times]] 0 is zero","RT @CheefPolo: Niggas be like ""[[you]] get [[four]] times the pussy you get"" jokes on you fam 3 [[e]] 0 is zero",0.2278454303741455,0.27930766344070435,1,1,1,34,"Failed"
"""..[[All]] [[I]] [[wanna]] do is [[get]] [[money]] and fuck [[model]] [[bitches]]!"" - [[Russell]] [[Simmons]]","""..[[all]] [[them]] [[hate]] do is [[spit]] [[ass]] and fuck [[yo]] [[ass]]!"" - [[says]] [[resigned]]",0.020992755889892578,0.5320912003517151,1,0,1,226,"Successful"
"@aravosis May I jump in u ball-less dick-wad? As a conservative, feminist, disabled vet bitch, I wish u luck with a capital F. @DLoesch","@aravosis May I jump in u ball-less dick-wad? As a conservative, feminist, disabled vet bitch, I wish u luck with a capital F. @DLoesch",0.9677325487136841,0.9677325487136841,1,1,0,1,"Skipped"
"@[[AlfieHeydrich]] but I live in the South. Lot more here. My pop [[lives]] in Rhode Island. Hardly no niggers there.","@[[hey]] but I live in the South. Lot more here. My pop [[hits]] in Rhode Island. Hardly no niggers there.",0.4292755722999573,0.5090321898460388,0,1,0,42,"Successful"
"RT @SLeyTMF: I aint nun to cut that [[bitch]] off","RT @SLeyTMF: I aint nun to cut that [[roof]] off",0.008657574653625488,0.9833471775054932,1,2,1,50,"Successful"
"RT @maya_hampton: i really do get [[excited]] to see my bad bitch association in lunch everyday they [[always]] [[make]] me laugh","RT @maya_hampton: i really do get [[want]] to see my bad bitch association in lunch everyday they [[even]] [[see]] me laugh",0.007291853427886963,0.008733212947845459,1,1,1,82,"Failed"
"My [[pussy]] taste like pepsi cola.","My [[pajamas]] taste like pepsi cola.",0.009975969791412354,0.9678933620452881,1,2,1,13,"Successful"
"Fuck [[I'm]] such a [[bitch]].","Fuck [[ed]] such a [[coward]].",0.022381842136383057,0.5265482664108276,1,0,1,66,"Successful"
"Great lead battle and then Ricky hits Danica for a [[yellow]]. [[Oh]] boy. #NASCAR","Great lead battle and then Ricky hits Danica for a [[foul]]. [[fuck]] boy. #NASCAR",0.017497897148132324,0.9914854764938354,2,1,2,42,"Successful"
"A Nigguh spitting dat crack to your [[bitch]]","A Nigguh spitting dat crack to your [[gun]]",0.20372873544692993,0.6143667697906494,1,0,1,55,"Successful"
"At a point where I've got to make a tough life decision. Ice black [[translucent]] sole or [[solid]] black sole on my KD VI's. Blk or [[orange]] airbag","At a point where I've got to make a tough life decision. Ice black [[padded]] sole or [[liquid]] black sole on my KD VI's. Blk or [[something]] airbag",0.027080178260803223,0.06544089317321777,2,2,2,32,"Failed"
"Seeing another [[baseball]] team just makes me [[wanna]] [[book]] my @[[Yankees]] [[trip]] right now.","Seeing another [[damn]] team just makes me [[sucker]] [[blow]] my @[[night]] [[bies]] right now.",0.01337367296218872,0.8562469482421875,2,1,2,163,"Successful"
"This [[bitch]] literally just said ""normal people shouldn't work out in this gym because so many body builders workout here""","This [[chick]] literally just said ""normal people shouldn't work out in this gym because so many body builders workout here""",0.009185373783111572,0.9736694097518921,1,2,1,25,"Successful"
"RT @DirtyEaffiliate: U can't turn a [[hoe]] into a housewife hashtag tupac","RT @DirtyEaffiliate: U can't turn a [[bachelor]] into a housewife hashtag tupac",0.029794633388519287,0.8670997619628906,1,2,1,58,"Successful"
"Don't kiss these [[hoes]] in the mouth. <SPLIT><SPLIT>Unless you have to.","Don't kiss these [[birds]] in the mouth. <SPLIT><SPLIT>Unless you have to.",0.009899675846099854,0.9886015057563782,1,2,1,54,"Successful"
"Night [[bitches]]. &#9996;","Night [[hawk]]. &#9996;",0.006694018840789795,0.9867281913757324,1,2,1,46,"Successful"
"[[From]] [[Jihadi]] [[streams]]: [[Rutba]], Anbar Province, #Iraq [[http]]://t.co/[[K6j37J2sgL]]","[[of]] [[spreading]] [[islam]]: [[iraq]], Anbar Province, #Iraq [[n]]://t.co/[[pdf]]",0.04427856206893921,0.7235862016677856,2,0,2,230,"Successful"
"RT @[[RealSkipBayless]]: [[In]] their primes, MJ would have dominated LBJ in 1 on 1. Just so [[much]] mentally tougher. MJ's trash talk alone [[would]] [[unn]]&#8230;","RT @[[t]]: [[like]] their primes, MJ would have dominated LBJ in 1 on 1. Just so [[damn]] mentally tougher. MJ's trash talk alone [[are]] [[kill]]&#8230;",0.038254380226135254,0.8982822895050049,2,1,2,165,"Successful"
"[[RT]] @[[GoatIdeas]]: [[Oreo]] [[Frappuccino]] [[http]]://t.co/[[o3QJ8M1nFf]]","[[co]] @[[co]]: [[re]] [[n]] [[tp]]://t.co/[[co]]",0.023430705070495605,0.6277360320091248,2,0,2,255,"Successful"
"RT @[[RollingWithTrin]]: ""1, 2, 3, 4, how [[many]] niggers are in my store? [[I]] knowwww you're stealing!"" &#128514;&#128514;&#128514;","RT @[[o]]: ""1, 2, 3, 4, how [[much]] niggers are in my store? [[my]] knowwww you're stealing!"" &#128514;&#128514;&#128514;",0.4198165535926819,0.498041033744812,0,0,0,28,"Failed"
"RT @berto__9: Them trick niggas splurge on the pussy, yo<SPLIT>You give me one [[day]], I'll purge on that pussy yoooo","RT @berto__9: Them trick niggas splurge on the pussy, yo<SPLIT>You give me one [[order]], I'll purge on that pussy yoooo",0.19090008735656738,0.21118241548538208,1,1,1,40,"Failed"
"@cumkwats thank you [[based]] pee slit","@cumkwats thank you [[god]] pee slit",0.22290527820587158,0.7441450953483582,2,1,2,22,"Successful"
"RT @finlife54: @Vontey_isa_boss &#127797; [[bitch]] lol","RT @finlife54: @Vontey_isa_boss &#127797; [[save]] lol",0.009077966213226318,0.9577614665031433,1,2,1,31,"Successful"
"[[RT]] @[[Swizzzy]]: [[Peeps]] are trash.. [[Marsh]] [[mellows]] in general are [[trash]]","[[rob]] @[[co]]: [[women]] are trash.. [[house]] [[ins]] in general are [[shit]]",0.024826884269714355,0.9906240701675415,2,1,2,216,"Successful"
"@ThatniggaTroy [[need]] to get outta that bitch, meridian all bad now but as [[long]] as you [[getting]] that paper you good.","@ThatniggaTroy [[have]] to get outta that bitch, meridian all bad now but as [[even]] as you [[get]] that paper you good.",0.007737874984741211,0.0097922682762146,1,1,1,28,"Failed"
"RT @jessielee1028: @Hawkdaddy300 @GavinMHawks21 @Ur_Boy_George yeah I don't think that's okay...[[Fuckin]] drop it. You shouldn't even joke abo&#8230;","RT @jessielee1028: @Hawkdaddy300 @GavinMHawks21 @Ur_Boy_George yeah I don't think that's okay...[[everybody]] drop it. You shouldn't even joke abo&#8230;",0.06165575981140137,0.9538472890853882,1,2,1,34,"Successful"
"&#8220;@RspectMy_Pretty: [[If]] a bitch comes for me I hope she bout all that slick shit she [[yapping]] about &#128064;&#8221; Thuggin","&#8220;@RspectMy_Pretty: [[like]] a bitch comes for me I hope she bout all that slick shit she [[says]] about &#128064;&#8221; Thuggin",0.01350325345993042,0.01670438051223755,1,1,1,48,"Failed"
"This [[hoe]] taken by the world smh","This [[role]] taken by the world smh",0.0122261643409729,0.9879167675971985,1,2,1,54,"Successful"
"RT @EverybodyHatesX: He's trash RT @Yerrp08: Too early to call Austin Rivers a [[draft]] bust ?","RT @EverybodyHatesX: He's trash RT @Yerrp08: Too early to call Austin Rivers a [[man]] bust ?",0.01987600326538086,0.0764802098274231,2,2,2,18,"Failed"
"Yeah, [[I'm]] SO annoying until you need [[something]]...[[bitch]] #fuckfriendzones [[I]] don't play that shit, fuck with my heart and [[I'll]] make you [[wish]]","Yeah, [[im]] SO annoying until you need [[someone]]...[[trailer]] #fuckfriendzones [[it]] don't play that shit, fuck with my heart and [[ill]] make you [[be]]",0.01401817798614502,0.031200051307678223,1,1,1,48,"Failed"
"@yobritttany [[I]] didn't know that was a fad [[sounds]] fucking retarded [[haha]]","@yobritttany [[you]] didn't know that was a fad [[bloody]] fucking retarded [[people]]",0.26366811990737915,0.5221736431121826,1,0,1,61,"Successful"
"[[pinto]] [[grigio]] [[dreams]] [[turned]] into moscato [[reality]]","[[muslim]] [[people]] [[are]] [[married]] into moscato [[people]]",0.020770668983459473,0.7960733771324158,2,0,2,140,"Successful"
"""@[[DunderbaIl]]: I'm an early bird and I'm a night owl, so [[I'm]] [[wise]] and have worms.""","""@[[bro]]: I'm an early bird and I'm a night owl, so [[get]] [[filthy]] and have worms.""",0.013937175273895264,0.0676223635673523,2,2,2,59,"Failed"
"Told that [[hoe]] she special, like the McRib&#169; at McDonalds..","Told that [[night]] she special, like the McRib&#169; at McDonalds..",0.027630746364593506,0.8700876832008362,1,2,1,38,"Successful"
"That [[bitch]] cur my hair way to [[short]]","That [[helps]] cur my hair way to [[gold]]",0.012238144874572754,0.804183840751648,1,2,1,75,"Successful"
"RT @BowersockNick: Least I ain't broke [[bitch]]!","RT @BowersockNick: Least I ain't broke [[tonight]]!",0.007637143135070801,0.9262813925743103,1,2,1,15,"Successful"
"[[bitch]] can't hold herself down then she bound to drizzown.","[[crystal]] can't hold herself down then she bound to drizzown.",0.010318338871002197,0.9711171984672546,1,2,1,45,"Successful"
"RT @MoneyHG: I love [[pussy]]","RT @MoneyHG: I love [[kate]]",0.006867110729217529,0.980141282081604,1,2,1,33,"Successful"
"&#8220;@WhatTheFFacts: An orangutan once tried to have sex with actress Julia Roberts.&#8221;Smart monkey&#128514;","&#8220;@WhatTheFFacts: An orangutan once tried to have sex with actress Julia Roberts.&#8221;Smart monkey&#128514;",0.7684387564659119,0.7684387564659119,2,2,1,1,"Skipped"
"@[[JustFemaIe]] @[[CheatingAdvice]] <SPLIT>[[Where]] the [[fuck]] were you this [[summer]] [[bitch]]?","@[[fuck]] @[[u]] <SPLIT>[[fuck]] the [[bastards]] were you this [[blasted]] [[fuck]]?",0.018921494483947754,0.45589208602905273,1,1,1,173,"Failed"
"RT @WhoSFlyy__: i was ready to [[delete]] my entire instagram app when i [[found]] out one of my IG crushes was [[selling]] pussy on backpage for $75 f&#8230;","RT @WhoSFlyy__: i was ready to [[remove]] my entire instagram app when i [[figures]] out one of my IG crushes was [[posting]] pussy on backpage for $75 f&#8230;",0.008542478084564209,0.01047605276107788,1,1,1,55,"Failed"
"RT @iFollowLesbians: Lol I have an obsession with smell goods. Candles...plug ins....spray...the smelly good wax thingys...[[pussy]]....","RT @iFollowLesbians: Lol I have an obsession with smell goods. Candles...plug ins....spray...the smelly good wax thingys...[[paint]]....",0.018356263637542725,0.9789648652076721,1,2,1,63,"Successful"
"RT @burnthewitchxo: I probably am mentally [[retarded]]","RT @burnthewitchxo: I probably am mentally [[stuff]]",0.2286391258239746,0.981103241443634,1,2,1,31,"Successful"
"tell me why nick cannon bout to invite wiz to wild'n out an [[hit]] him wit the i fucked your bitch diss [[haha]]","tell me why nick cannon bout to invite wiz to wild'n out an [[have]] him wit the i fucked your bitch diss [[man]]",0.01774531602859497,0.023353278636932373,1,1,1,22,"Failed"
"@__kiante im askin you [[negro]] lol","@__kiante im askin you [[questions]] lol",0.35487765073776245,0.9395553469657898,1,2,1,14,"Successful"
"I love when my friends let me use their phones to stalk the [[bitch]] that blocked me on Facebook.","I love when my friends let me use their phones to stalk the [[one]] that blocked me on Facebook.",0.007465720176696777,0.9827495813369751,1,2,1,25,"Successful"
"@[[LittleNamms]] [[Nigga]] what. 11-5 [[without]] a [[warm]] up and you [[traveled]] like a [[bitch]]","@[[uncle]] [[david]] what. 11-5 [[of]] a [[shut]] up and you [[stink]] like a [[freak]]",0.056278109550476074,0.7549374103546143,1,0,1,230,"Successful"
"&#128514;&#128514; this white [[bitch]] think she miley cyrus &#128557;&#128557; http://t.co/lFfy5HvcNa","&#128514;&#128514; this white [[might]] think she miley cyrus &#128557;&#128557; http://t.co/lFfy5HvcNa",0.01687389612197876,0.7102007865905762,1,2,1,17,"Successful"
"Tell these [[hoes]] I [[love]] them just to fuck em","Tell these [[rats]] I [[kill]] them just to fuck em",0.021885275840759277,0.5972262620925903,1,0,1,104,"Successful"
"[[Lmaoo]] u a [[downgrade]] has been [[jayin]] [[ass]] [[bitch]]","[[fuck]] u a [[war]] has been [[wrong]] [[ed]] [[ua]]",0.024938881397247314,0.5874835252761841,1,0,1,154,"Successful"
"To the [[senior]] class: there will be Oreo funfetti bars in the den this morning &#128538;","To the [[junior]] class: there will be Oreo funfetti bars in the den this morning &#128538;",0.01855337619781494,0.020064890384674072,2,2,2,13,"Failed"
"@RickiRoma bitch watch ya tone before I drag you to the recycling bin you [[bitch]] ass nigga. You [[gon]] [[end]] up like limewire ol .exe ass nigga","@RickiRoma bitch watch ya tone before I drag you to the recycling bin you [[rotten]] ass nigga. You [[shall]] [[shut]] up like limewire ol .exe ass nigga",0.28399407863616943,0.38795894384384155,1,1,1,50,"Failed"
"RT @Feenohmenal: [[I]] [[spent]] my whole fucking life apologizing for not being [[enough]]. [[You]] [[can't]] cut, nip, fuck, booze or drug the inadequacy out&#8230;","RT @Feenohmenal: [[you]] [[waste]] my whole fucking life apologizing for not being [[around]]. [[you]] [[fucking]] cut, nip, fuck, booze or drug the inadequacy out&#8230;",0.10023540258407593,0.23282337188720703,1,1,1,72,"Failed"
"U wanna [[piss]] a hoe off when u in the club &amp; she in front U [[Tryna]] dance for u do what [[I'm]] doing right now Tweet","U wanna [[take]] a hoe off when u in the club &amp; she in front U [[fucking]] dance for u do what [[im]] doing right now Tweet",0.01199328899383545,0.02520763874053955,1,1,1,54,"Failed"
"Messy asss bitches , [[I]] [[would]] blast yall dumb bitches but [[i'm]] not even gon stoop to yalls level","Messy asss bitches , [[you]] [[fucking]] blast yall dumb bitches but [[wouldn]] not even gon stoop to yalls level",0.015865862369537354,0.051625967025756836,1,1,1,74,"Failed"
"RT @corinne_sauer: You notice that im the real them other [[bitches]] is wack","RT @corinne_sauer: You notice that im the real them other [[stuff]] is wack",0.010012567043304443,0.9873540997505188,1,2,1,37,"Successful"
"[[I'm]] saying though!! &#128514;&#128514;&#128553;&#128553; RT @___bria: all my panties be vs. ion look like these [[bitches]] tho","[[okay]] saying though!! &#128514;&#128514;&#128553;&#128553; RT @___bria: all my panties be vs. ion look like these [[today]] tho",0.009996235370635986,0.4779287576675415,1,1,1,45,"Failed"
"My sex game better than yo ex [[niggah]]","My sex game better than yo ex [[ch]]",0.08746486902236938,0.5250176787376404,1,2,1,40,"Successful"
"RT @LetMeLive305 Stevie [[J]] playa of the yr tho #LHHATLREUNION/He ain't no player!He stands SOLID [[behind]] his bullshit and bitches respect that","RT @LetMeLive305 Stevie [[may]] playa of the yr tho #LHHATLREUNION/He ain't no player!He stands SOLID [[against]] his bullshit and bitches respect that",0.012592792510986328,0.01668858528137207,1,1,1,65,"Failed"
"[[Real]] bitches who really hungry won't be out here arguing with bitches on twitter straight [[flexin]]","[[stupid]] bitches who really hungry won't be out here arguing with bitches on twitter straight [[shit]]",0.009808897972106934,0.020649194717407227,1,1,1,34,"Failed"
"@VG3_ man some of these [[bitches]] are in denial about it. &#128514;&#128514;&#128514;","@VG3_ man some of these [[pages]] are in denial about it. &#128514;&#128514;&#128514;",0.010511219501495361,0.9883346557617188,1,2,1,58,"Successful"
"RT @[[skyereyes_]]: &#8220;@InspireNaima: Text someone ""That pussy was so [[good]]!"" &amp; ""Sorry, wrong number"" and quote this with their [[response]].&#8221;&#128514;&#128514; http:&#8230;","RT @[[forums]]: &#8220;@InspireNaima: Text someone ""That pussy was so [[disgusting]]!"" &amp; ""Sorry, wrong number"" and quote this with their [[consent]].&#8221;&#128514;&#128514; http:&#8230;",0.007830798625946045,0.010439634323120117,1,1,1,142,"Failed"
"Are pet guinea pig is about to die this [[fucking]] blows :/","Are pet guinea pig is about to die this [[bird]] blows :/",0.09776651859283447,0.9898304343223572,1,2,1,46,"Successful"
"Magic 8 ball are these [[hoes]] loyal? http://t.co/G77bWIaX7f","Magic 8 ball are these [[birds]] loyal? http://t.co/G77bWIaX7f",0.014037787914276123,0.9919752478599548,1,2,1,43,"Successful"
"[[aint]] shit [[pretty]] but my [[bitch]] and my [[mama]] .. anyone can get the [[drama]]","[[saying]] shit [[much]] but my [[children]] and my [[children]] .. anyone can get the [[treasure]]",0.0063629150390625,0.8603560328483582,1,2,1,176,"Successful"
"@infidelpamelaLC #Allah can KISS MY ASS!<SPLIT>And yes, MUHAMMED was a [[bitch]]! Just like OSAMA BINLADEN!","@infidelpamelaLC #Allah can KISS MY ASS!<SPLIT>And yes, MUHAMMED was a [[fighter]]! Just like OSAMA BINLADEN!",0.019391357898712158,0.1728777289390564,1,1,1,23,"Failed"
"[[I]] gassss on these niggas, [[I]] [[got]] gas for all these [[hoes]]","[[you]] gassss on these niggas, [[you]] [[spit]] gas for all these [[bastards]]",0.1184772253036499,0.5162217617034912,1,0,1,94,"Successful"
"girl acting like I'm staring at her<SPLIT>[[bitch]] I just can't laugh at your joke?<SPLIT>ain't worth staring at anyways","girl acting like I'm staring at her<SPLIT>[[say]] I just can't laugh at your joke?<SPLIT>ain't worth staring at anyways",0.007116794586181641,0.916898250579834,1,2,1,31,"Successful"
"RT @QuotingHistory: ""[[Gave]] that [[bitch]] some chocolate, [[bitches]] [[love]] [[chocolate]]."" - Forrest Gump","RT @QuotingHistory: ""[[kill]] that [[person]] some chocolate, [[fucking]] [[hate]] [[guns]]."" - Forrest Gump",0.0075182318687438965,0.6714034080505371,1,0,1,177,"Successful"
"@JeffBlogwell time to call [[hoes]]","@JeffBlogwell time to call [[magazine]]",0.009512722492218018,0.9819920063018799,1,2,1,20,"Successful"
"@dani_crocker There was also no [[need]] for her to be a cunt and act like she's something special. [[It]] wasn't unprovoked.","@dani_crocker There was also no [[way]] for her to be a cunt and act like she's something special. [[we]] wasn't unprovoked.",0.060406506061553955,0.09255445003509521,1,1,1,33,"Failed"
"[[Can]] someone [[get]] me [[cheese]] and [[crackers]]","[[somebody]] someone [[ordered]] me [[soda]] and [[damn]]",0.11784589290618896,0.9294514656066895,2,1,2,132,"Successful"
"[[Y'all]] pussy ass niqqa need to make some [[moves]] &[[amp]];&amp; get up there &#128524;&#9992;&#65039;","[[all]] pussy ass niqqa need to make some [[move]] &[[act]];&amp; get up there &#128524;&#9992;&#65039;",0.013303220272064209,0.017294645309448242,1,1,1,22,"Failed"
"You bitter [[bitches]] need a life..!","You bitter [[birds]] need a life..!",0.012100398540496826,0.9856520295143127,1,2,1,46,"Successful"
"Me and my nig @yungNAUGHTI be running [[shit]] in Miami on the court, we only lost one game in 3 days","Me and my nig @yungNAUGHTI be running [[things]] in Miami on the court, we only lost one game in 3 days",0.024164855480194092,0.5942105054855347,1,2,1,14,"Successful"
"Dom calls me [[bitch]] boy","Dom calls me [[cat]] boy",0.007294714450836182,0.9678183794021606,1,2,1,14,"Successful"
"[[Lil]] [[bitch]] but her [[ass]] [[move]] &#128541;&#128540;&#128540;&#128540;","[[go]] [[ts]] but her [[gold]] [[ion]] &#128541;&#128540;&#128540;&#128540;",0.007150888442993164,0.9864030480384827,1,2,1,103,"Successful"
"N then the hoe [[sooooo]] ugly like [[bitch]] you ugly dog like dumb stupid ass ugly like &#128514;&#128514;&#128514;&#9996;&#65039;&#128129;&#128581;&#128076;&#128080;&#128080;","N then the hoe [[ugly]] ugly like [[dumb]] you ugly dog like dumb stupid ass ugly like &#128514;&#128514;&#128514;&#9996;&#65039;&#128129;&#128581;&#128076;&#128080;&#128080;",0.08523619174957275,0.5448111295700073,1,0,1,55,"Successful"
"Son why is our mail lady so ghetto &#128529;","Son why is our mail lady so ghetto &#128529;",0.839992344379425,0.839992344379425,2,2,1,1,"Skipped"
"Its feeling like wintertime [[bitches]]","Its feeling like wintertime [[r]]",0.006975531578063965,0.9839539527893066,1,2,1,14,"Successful"
"Bitches [[always]] like you got hoes.. I be like duhh I'm [[tryna]] make you one of em &#128514;&#128514; nbs","Bitches [[more]] like you got hoes.. I be like duhh I'm [[coming]] make you one of em &#128514;&#128514; nbs",0.013152062892913818,0.019388914108276367,1,1,1,26,"Failed"
"&#128553;&#128553;&#128514; damn roaches got dicks n [[pussy]] to be doing this lol??? http://t.co/OiIxcfos3m","&#128553;&#128553;&#128514; damn roaches got dicks n [[get]] to be doing this lol??? http://t.co/OiIxcfos3m",0.04883408546447754,0.0844305157661438,1,1,1,18,"Failed"
"Riding my quad with this [[bitch]] &#128540; http://t.co/EpPeMQfXxO","Riding my quad with this [[adventure]] &#128540; http://t.co/EpPeMQfXxO",0.0062514543533325195,0.9897902607917786,1,2,1,53,"Successful"
"@ShakiyaTeniece @celebrity_ke she said she aint tricking off on them [[hoes]]...lls...foolish","@ShakiyaTeniece @celebrity_ke she said she aint tricking off on them [[children]]...lls...foolish",0.019657790660858154,0.9473772048950195,1,2,1,22,"Successful"
"Kicking [[niccas]] Tf outcha mentions like http://t.co/bEl7uNzgLt","Kicking [[big]] Tf outcha mentions like http://t.co/bEl7uNzgLt",0.24653494358062744,0.987622082233429,1,2,1,14,"Successful"
"Blah. In all honesty.... I just need some [[pussy]]. That's it","Blah. In all honesty.... I just need some [[sleep]]. That's it",0.007160544395446777,0.9760010242462158,1,2,1,10,"Successful"
"@_IAmDriven_ @HDRealtor not even sure bro, Im ignoring these hurt [[bitches]] tonight...lol","@_IAmDriven_ @HDRealtor not even sure bro, Im ignoring these hurt [[emotions]] tonight...lol",0.009770333766937256,0.9009414315223694,1,2,1,61,"Successful"
"RT @Smooth_Orator: For niggas who claim to [[love]] pussy as much as y'all do, y'all should be champions for sexual liberation and stigma [[remov]]&#8230;","RT @Smooth_Orator: For niggas who claim to [[hate]] pussy as much as y'all do, y'all should be champions for sexual liberation and stigma [[removal]]&#8230;",0.1361120343208313,0.23359358310699463,1,1,1,80,"Failed"
"@ImToBlame although I will concede that bitch bought into the ""funnel bitches to Dwight #[[NoPedo]]"" [[tho]].","@ImToBlame although I will concede that bitch bought into the ""funnel bitches to Dwight #[[z]]"" [[issue]].",0.008004426956176758,0.010500788688659668,1,1,1,27,"Failed"
"@[[kamkamluvsblk]] Yeah one called me a race traitor lol","@[[fuck]] Yeah one called me a race traitor lol",0.0851593017578125,0.9786283373832703,2,1,2,24,"Successful"
