"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[Wish]] i [[had]] [[a]] [[bad]] bitch tonight [[where]] [[they]] [[at]]?","i bitch tonight?",0.09934522211551666,0.7993456125259399,1,1,1,18,"Maximized"
"[[Dont]] [[fuck]] wit [[broke]] bitches","wit bitches",0.18973231315612793,0.7948320508003235,1,1,1,9,"Maximized"
"[[RT]] @[[Qwyenton]]: [[Dat]] [[ghetto]] shit aint attractive","@: shit aint attractive",0.13966622948646545,0.7126320600509644,1,1,1,12,"Maximized"
"[[S]]/o [[to]] [[dat]] bitch [[ass]] [[nigga]] in Alabama [[who]] [[wanna]] [[kill]] [[me]] #[[GoodLucc]]","/o bitch in Alabama #",0.056038837879896164,0.7852091789245605,1,1,1,26,"Maximized"
"[[Conan]] [[Obrien]] needs [[to]] [[get]] [[a]] life [[with]] that $80 [[million]]..[[monkey]] [[food]] [[maybe]].","needs life that $80...",0.06974992901086807,0.7827534675598145,2,2,2,25,"Maximized"
"[[I]] [[hate]] when I [[upload]] [[a]] [[pic]] [[with]] a caption [[that]] [[says]] ""me [[and]] my [[son]]"" [[and]] someone [[asks]] ""[[omg]] is [[that]] [[your]] son?"" ...[[No]] bitch [[I]] found [[him]] outside","when I a caption ""me my"" someone "" is son?"" ... bitch found outside",0.03302203491330147,0.6331090331077576,1,1,1,49,"Maximized"
"@[[morgan_mccubbin]] fake bitches.... #[[nicetry]]","@fake bitches.... #",0.24758650362491608,0.7475374937057495,1,1,1,8,"Maximized"
"@[[itsjustmexo]] [[ur]] a cunt [[nd]] [[a]] [[wish]] a [[was]] [[a]] [[faggot]]","@a cunt a ",0.052320446819067,0.8091443777084351,1,1,1,21,"Maximized"
"[[Vanessa]] is [[such]] a [[fuckin]] faggot.","is a faggot.",0.09404576569795609,0.6041063666343689,0,0,0,12,"Maximized"
"[[Your]] [[acting]] like [[a]] [[spoiled]] [[little]] faggot have fun","like faggot have fun",0.058724481612443924,0.6191853284835815,0,0,0,16,"Maximized"
"[[RT]] @[[RobIsRandomAF_6]]: &#[[128514]];&#128514;&#[[128514]];&#128514;&#[[128514]];[[This]] bitch [[came]] to the club with [[a]] [[broken]] [[neck]]? [[Bitch]] you [[serious]]? https://[[t]].[[co]]/D4bpFhPj6x","@: &#;&#128514;&#;&#128514;&#; bitch to the club with? you? https://./D4bpFhPj6x",0.04092593118548393,0.6246963143348694,1,1,1,40,"Maximized"
"@[[AlexDunlapNFL]] @[[BDOE_KLBJ]] [[that]] [[evil]] son [[of]] a bitch [[deserves]] everything that's [[coming]] to [[him]]","@@ son a bitch everything that's to ",0.0705176517367363,0.6423307657241821,1,1,1,24,"Maximized"
"[[The]] bitches [[are]] [[back]] [[http]]://[[t]].[[co]]/3fpjQJvjUh","bitches://./3fpjQJvjUh",0.12394899129867554,0.8740846514701843,1,1,1,15,"Maximized"
"&#[[8220]];@[[abigayvazquez]]: @_Nicole214_ @[[TonyJetsFoo]] [[yeah]] he lowkey loves [[me]] [[he]] [[knows]] he's ma [[nigga]] &#128076;&#[[8221]];[[we]] [[don't]] [[love]] [[these]] hoes","&#;@: @_Nicole214_ @ he lowkey loves he's ma &#128076;&#; hoes",0.04389245808124542,0.6661304235458374,1,1,1,35,"Maximized"
"[[She's]] definitely [[a]] [[Kardashian]] [[bird]] RT @BasedChasen: http://[[t]].[[co]]/RY3ocBwVTn","definitely RT @BasedChasen: http://./RY3ocBwVTn",0.08693335950374603,0.632845938205719,2,2,2,18,"Maximized"
"@[[TheBovee]] [[CSGO]] bitch.","@bitch.",0.3298761546611786,0.9963462352752686,1,1,1,6,"Maximized"
"[[RT]] @[[KINGTUNCHI_]]: I [[don't]] understand [[if]] [[all]] these [[hoes]] say [[they]] [[getting]] [[money]] [[why]] tf [[they]] [[on]] twitter with [[that]] [[childish]] [[shit]]!! Bitch it's 20&#[[8230]];","@: I understand these say tf twitter with!! Bitch it's 20&#;",0.038077324628829956,0.6536068916320801,1,1,1,43,"Maximized"
"&#[[8220]];@[[IAm_Cream]]: &#128514;RT @[[DontGetGrandHoe]]: [[When]] [[y'all]] hoes going [[to]] learn how [[to]] spell&#[[8221]]; &#[[128588]];&#[[128588]];","&#;@: &#128514;RT @: hoes going learn how spell&#; &#;&#;",0.0579577311873436,0.6462846398353577,1,1,1,28,"Maximized"
"[[RT]] @_LastQueen_Bri: [[Everybody]] [[claim]] [[they]] [[fvck]] with ""[[bad]] bitches"" [[but]] all [[the]] [[ugly]] bitches [[getting]] [[pregnant]]&#128118;&#128118; <SPLIT>.<SPLIT><SPLIT>.<SPLIT><SPLIT>.<SPLIT><SPLIT>.<SPLIT>Somebody [[lien]]&#[[128530]];&#[[128530]];","@_LastQueen_Bri: with "" bitches"" all bitches&#128118;&#128118; <SPLIT>.<SPLIT><SPLIT>.<SPLIT><SPLIT>.<SPLIT><SPLIT>.<SPLIT>Somebody&#;&#;",0.04484868794679642,0.6814249157905579,1,1,1,37,"Maximized"
"[[I]] [[got]] [[bad]] bitches on [[stand]] [[by]]","bitches on ",0.14180277287960052,0.8551070690155029,1,1,1,13,"Maximized"
"[[Just]] when [[I'm]] feeling [[totally]] [[useless]] in [[the]] world ([[another]]) [[baby]] [[bird]] [[found]] in [[need]] of #[[TLC]] Just call [[me]] #[[DrDolittle]] http://[[t]].co/[[Trwmr3HG8v]]","when feeling in world () in of # Just call # http://.co/",0.03950493410229683,0.6393857598304749,2,2,2,41,"Maximized"
"""@[[RnadJorell]]: Bruh [[im]] [[tired]] [[of]] [[niggas]] [[retweetin]] [[Miley]] Cyrus naked that bitch [[aint]] [[no]] [[types]] of [[bad]]"" [[lmaooo]]","""@: Bruh Cyrus naked that bitch of"" ",0.051440753042697906,0.7218329906463623,1,1,1,31,"Maximized"
"@[[DanielM023]] Hell [[na]] !! [[Hes]] [[a]] [[honky]] brah","@Hell !! brah",0.13219109177589417,0.8161289095878601,1,1,1,13,"Maximized"
"[[These]] hoes [[ain't]] [[yours]] [[it's]] [[just]] [[yo]] turn #&#[[128175]];&#[[128175]]; [[u]] [[hear]] [[me]]?","hoes turn #&#;&#;?",0.07629542052745819,0.9222661852836609,1,1,1,25,"Maximized"
"[[If]] [[she]] hates [[being]] [[kissed]] [[in]] [[the]] [[mouth]] she [[a]] hoe.Tell me different.","hates she hoe.Tell me different.",0.0707622617483139,0.6419100761413574,1,1,1,23,"Maximized"
"[[Bro]] what [[in]] the [[fuck]] [[y'all]] bitches thinking ... That [[is]] not [[ok]]","what the bitches thinking ... That not ",0.0818561390042305,0.582726001739502,1,1,1,20,"Maximized"
"[[RT]] @[[Fck_Witcho_Mans]]: [[Fuck]] Michigan too many [[wanna]] be [[thugs]]. [[If]] [[you]] ask [[me]] [[y'all]] pussy. [[I'm]] out [[this]] [[bitch]] next [[year]]","@: Michigan too many be. ask pussy. out next ",0.045856863260269165,0.6663036942481995,1,1,1,36,"Maximized"
"[[I]] [[really]] wanna [[have]] [[a]] talk [[about]] [[life]] with [[the]] ""[[fuck]] [[her]] right [[in]] the pussy"" [[dude]] while [[smokin]] a [[blunt]] [[before]] [[I]] [[die]]","wanna talk with "" right the pussy"" while a ",0.04100475832819939,0.708031415939331,1,1,1,42,"Maximized"
"[[Nigga]] yu bitch [[made]] &#[[127797]];&#[[127797]];","yu bitch &#;&#;",0.1575569063425064,0.8322608470916748,1,1,1,12,"Maximized"
"[[RT]] @[[HoskinsTy96]]: &#8220;@[[xjessica14x]]: [[Brandon]] is so [[annoying]]&#[[8221]];and [[a]] [[lil]] bitch","@: &#8220;@: is so&#;and bitch",0.07611015439033508,0.6917698383331299,1,1,1,22,"Maximized"
"@[[HopeMcclintock]] [[I]] could've [[swore]] everyday [[was]] [[jus]] [[sayin]] I had [[all]] [[the]] hoes like [[2]] [[days]] ago! [[No]] I'm [[gay]],What's [[next]]? [[I]] [[gotta]] baby [[on]] the way&#[[128514]];","@could've everyday I had hoes like ago! I'm,What's? baby the way&#;",0.03289889544248581,0.6202600002288818,1,1,1,48,"Maximized"
"@[[daggerbyte]] @MichaelSmartGuy @[[spacej_me]] @pizzahut [[Given]] [[the]] [[rickety]] slant of [[that]] [[roof]] I'd [[say]] [[more]] [[like]] Pizza [[Shanty]]","@@MichaelSmartGuy @ @pizzahut slant of I'd Pizza ",0.05661283805966377,0.7039700150489807,2,2,2,29,"Maximized"
"@[[Articulate_Aura]] bitches [[don't]] [[know]] [[if]] [[they]] wanna [[play]] basketball [[or]] [[look]] sexy bro","@bitches wanna basketball sexy bro",0.07638148218393326,0.6917010545730591,1,1,1,22,"Maximized"
"@[[EdgarGuillenjr]] [[your]] a [[punk]] [[pussy]] [[ass]] bitch! Dude [[you]] don't have [[the]] balls [[to]] [[fight]] [[all]] you [[wanna]] do [[is]] [[wanna]] [[hit]] [[girls]] your [[a]] [[fuckin]] bitch","@a bitch! Dude don't have balls you do your bitch",0.03434204310178757,0.6656523942947388,1,1,1,45,"Maximized"
"""[[How]] [[you]] doing, crazy bitch?"" is [[hilarious]]!","""doing, crazy bitch?"" is!",0.14160771667957306,0.570360004901886,1,1,1,13,"Maximized"
"[[In]] [[da]] club [[makin]] movies. I [[feel]] [[like]] [[tyler]] perry. [[Fuckin]] [[niggas]] bitches.[[dey]] like [[why]] [[did]].[[i]] gt [[married]].","club movies. I perry. bitches. like. gt.",0.04369316250085831,0.6995763182640076,1,1,1,36,"Maximized"
"""@[[BeEasyJrizzy]]: u [[ever]] [[kill]] a [[ant]] on the [[sidewalk]] [[and]] think [[damn]] what [[if]] that [[nigga]] [[was]] [[on]] [[his]] [[way]] [[to]] [[get]] some pussy""No bs must b &[[gt]];30%[[chance]]","""@: u a on the think what that some pussy""No bs must b &;30%",0.029195886105298996,0.5804256200790405,1,1,1,49,"Maximized"
"@[[Helgasfishtales]] [[omg]]! I [[don't]] [[even]] know [[where]] kimlau [[sq]] [[is]]...I would [[been]] [[like]],""[[look]] [[a]] bird!"" then [[ran]] for [[the]] [[hills]]! [[Lol]]","@! I know kimlau...I would,"" bird!"" then for! ",0.04281117394566536,0.6950463652610779,2,2,2,39,"Maximized"
"@[[CHILDISHCUDl]] @[[CheefPolo]] bitch mind [[your]] [[business]]","@@ bitch mind ",0.16467611491680145,0.8317978382110596,1,1,1,11,"Maximized"
"[[RT]] @_[[NikkiiiBeeee]]: [[Getting]] called [[ugly]] by a bitch that [[use]] to [[idolize]] you. &#[[128064]]; [[Ohhhh]] well [[okay]]... &#[[128514]];","@_: called by a bitch that to you. &#; well... &#;",0.05482315644621849,0.6107388734817505,1,1,1,30,"Maximized"
"[[I]] uploaded [[a]] @[[YouTube]] video [[http]]://[[t]].[[co]]/JHUuZpgr [[UPDATE]] [[ON]] UGANDA [[ANTI-GAY]] [[BILL]]: [[Freemasonry]], Anglo-American Influence, and","uploaded @ video://./JHUuZpgr UGANDA:, Anglo-American Influence, and",0.03743591159582138,0.6648988723754883,2,2,2,30,"Maximized"
"[[RT]] @isaidthatshit: [[LMFAOOOOOOOOOOOOOOOO]] [[RT]] @2ChainzLyrics: [[Put]] [[that]] muthafuckin [[jelly]] [[on]] [[that]] bread, bitch spread [[it]] [[http]]://t.[[co]]/pzTSt16cew""","@isaidthatshit: @2ChainzLyrics: muthafuckin bread, bitch spread://t./pzTSt16cew""",0.05154652148485184,0.631061315536499,1,1,1,32,"Maximized"
"[[RT]] @WeightIifters: [[Rows]] [[for]] [[the]] hoes<SPLIT><SPLIT>Curls [[for]] [[the]] [[girls]]<SPLIT><SPLIT>[[Planks]] [[for]] [[the]] [[skanks]] <SPLIT><SPLIT>Deep [[cuts]] [[for]] [[the]] sluts<SPLIT><SPLIT>[[Quads]] [[for]] [[the]] [[broads]]<SPLIT><SPLIT>[[No]] pecs [[N]]&#8230;","@WeightIifters: hoes<SPLIT><SPLIT>Curls<SPLIT><SPLIT> <SPLIT><SPLIT>Deep sluts<SPLIT><SPLIT><SPLIT><SPLIT> pecs&#8230;",0.03574683889746666,0.7766303420066833,1,1,1,48,"Maximized"
"[[RT]] @MeechIsDEAD: [[I]] [[Cant]] [[Wait]] Till [[U]] &[[amp]]; [[Ya]] [[Boyfriend]] Break [[Up]], [[That]] [[nigga]] act Like he [[own]] the pussy","@MeechIsDEAD: Till &; Break, act Like he the pussy",0.04458679258823395,0.6495817303657532,1,1,1,34,"Maximized"
"[[RT]] @WayneRoot: [[Well]] [[there's]] difference between [[Erick]] [[Erickson]] [[and]] me. I've [[always]] understood [[Obama]] [[is]] [[Muslim]] [[Jihadi]] [[sympathizer]]:<SPLIT>[[https]]://[[t]].&#8230;","@WayneRoot: difference between me. I've understood:<SPLIT>://.&#8230;",0.04505618289113045,0.7134451866149902,2,2,2,36,"Maximized"
"[[they]] gotta [[sell]] [[they]] [[ugliness]] &#[[128514]];&#[[128514]]; &#[[8220]];@[[BADi_am]]: [[Ugly]] bitches be the most [[stuck]] up ... [[Like]] bish what &#[[10067]];&#[[128553]];&#[[128514]];&#[[128514]];&#[[8221]];","gotta &#;&#; &#;@: bitches be the most up ... bish what &#;&#;&#;&#;&#;",0.041079338639974594,0.7080743908882141,1,1,1,41,"Maximized"
"[[RT]] @[[Swizzzy]]: How do bitches &#[[8220]];Peep [[everything]]&#[[8221]]; but [[still]] [[getting]] [[cheated]] [[on]] [[something]] [[not]] [[adding]] up","@: How do bitches &#;Peep&#; but up",0.05520050972700119,0.7218889594078064,1,1,1,32,"Maximized"
"@[[DeezNutsDoe]] [[how]] about [[you]] wash [[my]] [[butthole]] [[out]] [[with]] your [[tongue]] you little faggot","@about wash your you little faggot",0.04118852689862251,0.6153347492218018,0,0,0,24,"Maximized"
"[[RT]] @YaBoyRoshi: [[Dodging]] [[these]] hoes like http://[[t]].[[co]]/[[9O31kRMEso]]","@YaBoyRoshi: hoes like http://./",0.09866618365049362,0.6988986134529114,1,1,1,18,"Maximized"
"@[[LadyVodkax]] [[yer]] [[dirty]] pussy","@pussy",0.24579887092113495,0.9965333342552185,1,1,1,8,"Maximized"
"[[Lookin]] at [[u]] hoes #[[federalboobieinspector]] http://[[t]].co/[[wxLgV8xKDX]]","at hoes # http://.co/",0.10736560821533203,0.6651672720909119,1,1,1,16,"Maximized"
"[[RT]] @[[i_GotHoProblems]]: These [[bitches]] don't love [[nobody]] &[[amp]]; the ho's [[is]] for everybody!","@: These don't love &; the ho's for everybody!",0.07627567648887634,0.5208804607391357,1,1,1,22,"Maximized"
"[[idgaf]] bout [[no]] [[basic]] bitch","bout bitch",0.1986248791217804,0.7978886961936951,1,1,1,9,"Maximized"
"[[RT]] @ALMartinez32: &#[[8220]];@[[100granHman]]: @IamMrEchols @[[ALMartinez32]] &#[[128555]];&#[[128555]];&#[[8221]];finding herself [[in]] [[the]] hoe section","@ALMartinez32: &#;@: @IamMrEchols @ &#;&#;&#;finding herself hoe section",0.0641145184636116,0.6652867197990417,1,1,1,25,"Maximized"
"[[RT]] @[[phatsyeo215]]: these bitches ain't [[real]]. &#[[128514]];","@: these bitches ain't. &#;",0.1416173130273819,0.713350772857666,1,1,1,13,"Maximized"
"#[[SplashGang]] on [[you]] pussy n%[[a'z]] [[ay]] @Benny_Balboa [[i]] [[tried]] [[to]] tell [[n]]%[[a'z]]!!!","#on pussy n% @Benny_Balboa tell%!!!",0.07054576277732849,0.7136502265930176,1,1,1,25,"Maximized"
"[[As]] [[always]] Eli [[has]] [[the]] stupid [[hick]] hayseed [[look]] on [[his]] [[face]] [[Giants]] [[fans]] kill [[yaselves]] it's gonna be [[a]]&#8230; http://[[t]].[[co]]/JcYZzMKCfu","Eli stupid hayseed on kill it's gonna be&#8230; http://./JcYZzMKCfu",0.015369799919426441,0.5792737603187561,0,0,0,42,"Maximized"
"[[Ayo]] twat [[boy]] [[I]] [[gotta]] [[new]] phone [[give]] [[me]] yo [[jack]] [[now]] @[[Jay050709]]","twat phone yo @",0.07069531083106995,0.8434340953826904,1,1,1,24,"Maximized"
"[[RT]] @__[[Stackzz]]: &#[[8220]];@VoiceOfDStreetz: &#[[8220]];@__[[Stackzz]]: @[[VoiceOfDStreetz]] lol [[for]] what?&#[[8221]]; Lol you [[dissing]] [[us]]&#8221;&#[[128514]];&#[[128514]];&#[[128514]]; shut [[up]] bitch","@__: &#;@VoiceOfDStreetz: &#;@__: @ lol what?&#; Lol you&#8221;&#;&#;&#; shut bitch",0.04481319338083267,0.6814399361610413,1,1,1,37,"Maximized"
"[[I]] [[impress]] [[da]] young [[white]] girl [[next]] doe [[by]] [[taking]] [[out]] [[my]] giant negro [[thang]] [[and]] [[usin]] [[it]] [[to]] [[flip]] da [[hamburgers]] [[for]] da #[[KoolQueefTribute]]&#160;","young girl doe giant negro da da #&#160;",0.02622053772211075,0.7242565751075745,1,1,1,46,"Maximized"
"[[RT]] @BroadDayJay_: [[Fellas]] remember [[to]] [[stock]] [[up]] [[on]] thermals and Timbs [[before]] [[the]] dykes buy [[them]] all","@BroadDayJay_: remember thermals and Timbs dykes buy all",0.03632286190986633,0.5596565008163452,1,1,1,29,"Maximized"
"""@[[DomWorldPeace]]: [[Baseball]] [[season]] [[for]] [[the]] win. #Yankees"" [[This]] [[is]] where [[the]] [[love]] started","""@: win. #Yankees"" where started",0.0758809894323349,0.7679150700569153,2,2,2,23,"Maximized"
"[[Like]] [[freaky]] bitch but [[I]] [[fucks]] [[with]] [[her]]","bitch but ",0.12146824598312378,0.8734138607978821,1,1,1,15,"Maximized"
"bitch you're white stfu with your shitty Spanish","bitch you're white stfu with your shitty Spanish",0.0,0.0,1,1,0,1,"Skipped"
"[[If]] [[I]] [[wore]] a [[tutu]], no bitch would [[want]] [[me]] &#[[128514]];&#[[128514]]; [[that's]] what [[our]] [[dog]] [[is]] [[gonna]] [[be]] [[telling]] [[himself]] [[everyday]] &#128529;","a, no bitch would &#;&#; what &#128529;",0.04320433735847473,0.7823495864868164,1,1,1,41,"Maximized"
"[[RT]] @PrinceVelly: [[I]] [[feel]] sorry [[for]] [[da]] [[females]] that dont [[get]] what they [[deserve]], [[while]] [[these]] [[hoe]] bitches [[get]] [[treated]] [[like]] queens &#128543;&#[[128543]];&#128543;&#128543;&#128543;","@PrinceVelly: sorry that dont what they, bitches queens &#128543;&#;&#128543;&#128543;&#128543;",0.036715082824230194,0.5923442840576172,1,1,1,44,"Maximized"
"[[To]] many [[niggas]] [[and]] not enough hoes [[and]] most [[of]] [[you]] [[niggas]] [[acting]] like [[hoes]]","many not enough hoes most like ",0.04920585826039314,0.6660221815109253,1,1,1,26,"Maximized"
"[[This]] shit [[is]] [[a]] [[game]] [[right]] now.. That's why [[I]] [[play]] [[hoes]].","shit now.. That's why.",0.08256537467241287,0.7486192584037781,1,1,1,21,"Maximized"
"[[Dedication]] 4 hoe","4 hoe",0.32924124598503113,0.6629948616027832,1,1,1,6,"Maximized"
"&#[[8220]];@[[CMRE24]] &#8220;[[Sum]] [[wrong]] with the pussy&#[[8221]];- Sweets&#[[8221]];[[smh]]","&#;@ &#8220; with the pussy&#;- Sweets&#;",0.0826961025595665,0.6660657525062561,1,1,1,21,"Maximized"
"@[[R3lentlssTr0ll]] @[[AnastasiaPacana]] yes [[i]] like [[dick]] [[and]] i [[hate]] bitches. [[who]] am [[i]] now?","@@ yes like i bitches. am now?",0.06810392439365387,0.6422267556190491,1,1,1,24,"Maximized"
"[[RT]] @[[AIanHangover]]: let's [[play]] a [[game]] [[called]] stop being [[a]] [[lil]] bitch","@: let's a stop being bitch",0.08270222693681717,0.6660784482955933,1,1,1,20,"Maximized"
"@[[CapoDaAssHole]] @Alejandro_Bihhh [[lmaooo]] I [[wanted]] them hoes [[she]] [[was]] [[suppose]] [[to]] [[hold]] em","@@Alejandro_Bihhh I them hoes em",0.07555469870567322,0.6911827921867371,1,1,1,23,"Maximized"
"""@[[iCrawley]]: [[I]] could [[never]] [[have]] [[a]] bby [[by]] [[a]] lil [[dick]] [[Thts]] [[y]] I [[got]] a [[abortion]] [[by]] [[the]] [[last]] bitch""- [[oh]] My [[God]]","""@: could bby lil I a bitch""- My ",0.04126807674765587,0.7497495412826538,1,1,1,42,"Maximized"
"""[[Get]] [[your]] ass back to [[Detroit]] [[ya]] [[fuckin']] [[wigger]]!""","""ass back to!""",0.08428765088319778,0.7710577249526978,1,1,1,17,"Maximized"
"[[I]] [[dare]] a bitch [[to]] [[key]] [[my]] [[truck]] &#[[128530]];&#[[128298]];","a bitch &#;&#;",0.09939310699701309,0.8993114233016968,1,1,1,19,"Maximized"
"[[RT]] @GaryLopez_19: [[I'm]] [[gonna]] [[make]] [[this]] [[math]] [[test]] [[my]] bitch tomorrow.","@GaryLopez_19: bitch tomorrow.",0.09034653007984161,0.8175181150436401,1,1,1,20,"Maximized"
"[[RT]] @[[whiskeyqueeen]]: [[niggas]] ain't shit but [[hoes]] [[with]] dicks","@: ain't shit but dicks",0.10089270025491714,0.6635141372680664,1,1,1,15,"Maximized"
"[[Bathing]] Sphere: [[Suspended]] [[Orb]] [[Tub]] [[Not]] [[for]] [[Shy]] People http://[[t]].[[co]]/OHv7xbr6wo #[[bathing]] #design #weird [[and]] yet #cool","Sphere: People http://./OHv7xbr6wo # #design #weird yet #cool",0.05189527943730354,0.6307410001754761,2,2,2,31,"Maximized"
"[[People]] are [[such]] bitches!!! [[Complaining]] over [[stupid]] [[things]]!","are bitches!!! over!",0.12223450839519501,0.7487100958824158,1,1,1,14,"Maximized"
"[[Loyal]] [[pussy]] forever bein [[better]] [[than]] [[the]] bitch [[thats]] been [[passed]] [[around]].","forever bein bitch been.",0.08266992121934891,0.7494186162948608,1,1,1,21,"Maximized"
"[[RT]] @[[zeemonstaa]]: There [[no]] [[such]] thing as [[too]] much pussy .","@: There thing as much pussy .",0.09916134178638458,0.5992154479026794,1,1,1,18,"Maximized"
"@[[gusandrews]] HEY! [[I'M]] still [[on]] [[LambdaMOO]]. ([[and]] [[it]] [[really]] is [[empty]], [[nobody]] [[to]] [[talk]] [[to]] [[except]] that asshole [[bird]]...)","@HEY! still. ( is, that asshole...)",0.05032315105199814,0.7850785851478577,1,1,1,34,"Maximized"
"@[[nathanmbennett2]] [[lol]] she's [[always]] [[scheming]] [[dude]]. [[Jaime]] [[needs]] to [[keep]] his hoe [[on]] a [[leash]]....or I mean [[his]] [[sister]] lol.","@she's. to his hoe a....or I mean lol.",0.04650885611772537,0.6186079382896423,1,1,1,35,"Maximized"
"[[Ain't]] [[fuckin]] wit [[nomore]] hoes got [[who]] [[I]] [[want]] &#128586;&#[[128564]];&#[[128524]];&#[[128143]];&#[[128145]];&#[[128175]];","wit hoes got &#128586;&#;&#;&#;&#;&#;",0.06543980538845062,0.7993688583374023,1,1,1,27,"Maximized"
"@AnthonyCumia <SPLIT>You be totally correct Anthony. Can&#8217;t be livin round dem colored folk. Day be bringin down da hood and dem propery value","@AnthonyCumia <SPLIT>You be totally correct Anthony. Can&#8217;t be livin round dem colored folk. Day be bringin down da hood and dem propery value",0.0,0.0,2,2,0,1,"Skipped"
"&#[[8220]];@itslizkhalifa: [[If]] pussy [[is]] just [[pussy]] [[to]] [[you]], [[you]] [[a]] [[nasty]] [[ass]] [[nigga]].. [[Hope]] you get [[aids]] &#[[128553]];&#[[8221]]; [[bit]] harsh. [[Rethink]] [[that]] statement","&#;@itslizkhalifa: pussy just,.. you get &#;&#; harsh. statement",0.03445783630013466,0.7596911787986755,1,1,1,44,"Maximized"
"#[[Iraq]] gov [[troops]] were [[handed]] a [[severe]] [[defeat]] by #[[ISIS]] at Saqlawiya -- [[there's]] chatter [[of]] [[over]] 300 [[soldiers]] [[lost]] &[[amp]]; [[Jihadis]] [[raving]] [[about]] it","#gov were a by # at Saqlawiya -- chatter 300 &; it",0.038513727486133575,0.6656931638717651,2,2,2,40,"Maximized"
"[[Jhene]] Aiko ain't [[shit]] [[but]] a [[spiteful]] side [[hoe]] [[she]] ain't even [[fine]]","Aiko ain't a side ain't even ",0.07623479515314102,0.5774514079093933,1,1,1,22,"Maximized"
